,date,time,temp,dewpoint,humidity,wind,windspeed,windgust,pressurre,precip,condit
0,2019-06-28,12:20 AM,59 °F,54 °F,82 %,NE,6 mph,0 mph,30.16 in,0.0 in,Fair
1,2019-06-28,12:50 AM,57 °F,55 °F,94 %,NE,7 mph,0 mph,30.16 in,0.0 in,Fair
2,2019-06-28,1:20 AM,55 °F,54 °F,94 %,NE,6 mph,0 mph,30.16 in,0.0 in,Fair
3,2019-06-28,1:50 AM,55 °F,54 °F,94 %,NE,6 mph,0 mph,30.16 in,0.0 in,Fair
4,2019-06-28,2:20 AM,54 °F,52 °F,94 %,NE,6 mph,0 mph,30.16 in,0.0 in,Fair
5,2019-06-28,2:50 AM,54 °F,52 °F,94 %,NE,5 mph,0 mph,30.16 in,0.0 in,Fair
6,2019-06-28,3:20 AM,54 °F,52 °F,94 %,NE,6 mph,0 mph,30.16 in,0.0 in,Fair
7,2019-06-28,3:50 AM,52 °F,52 °F,100 %,NE,6 mph,0 mph,30.16 in,0.0 in,Fair
8,2019-06-28,4:20 AM,52 °F,50 °F,94 %,NE,5 mph,0 mph,30.16 in,0.0 in,Fair
9,2019-06-28,4:50 AM,52 °F,50 °F,94 %,NE,5 mph,0 mph,30.16 in,0.0 in,Fair
10,2019-06-28,5:20 AM,52 °F,50 °F,94 %,NE,6 mph,0 mph,30.16 in,0.0 in,Fair
11,2019-06-28,5:50 AM,52 °F,50 °F,94 %,NE,5 mph,0 mph,30.16 in,0.0 in,Fair
12,2019-06-28,6:20 AM,52 °F,50 °F,94 %,ENE,6 mph,0 mph,30.16 in,0.0 in,Fair
13,2019-06-28,6:50 AM,54 °F,52 °F,94 %,NE,5 mph,0 mph,30.16 in,0.0 in,Fair
14,2019-06-28,7:20 AM,55 °F,52 °F,88 %,ENE,6 mph,0 mph,30.16 in,0.0 in,Fair
15,2019-06-28,7:50 AM,55 °F,52 °F,88 %,ENE,6 mph,0 mph,30.16 in,0.0 in,Fair
16,2019-06-28,8:20 AM,57 °F,52 °F,82 %,ENE,7 mph,0 mph,30.16 in,0.0 in,Fair
17,2019-06-28,8:50 AM,59 °F,52 °F,77 %,ENE,7 mph,0 mph,30.16 in,0.0 in,Fair
18,2019-06-28,9:20 AM,61 °F,54 °F,77 %,E,6 mph,0 mph,30.16 in,0.0 in,Fair
19,2019-06-28,9:50 AM,63 °F,54 °F,72 %,ENE,6 mph,0 mph,30.16 in,0.0 in,Fair
20,2019-06-28,10:20 AM,64 °F,55 °F,73 %,NE,6 mph,0 mph,30.16 in,0.0 in,Fair
21,2019-06-28,10:50 AM,64 °F,54 °F,68 %,ENE,7 mph,0 mph,30.13 in,0.0 in,Fair
22,2019-06-28,11:20 AM,66 °F,54 °F,64 %,ENE,6 mph,0 mph,30.13 in,0.0 in,Fair
23,2019-06-28,11:50 AM,68 °F,54 °F,60 %,NE,7 mph,0 mph,30.13 in,0.0 in,Fair
24,2019-06-28,12:20 PM,68 °F,55 °F,64 %,ENE,7 mph,0 mph,30.13 in,0.0 in,Fair
25,2019-06-28,12:50 PM,70 °F,55 °F,60 %,VAR,3 mph,0 mph,30.13 in,0.0 in,Fair
26,2019-06-28,1:20 PM,72 °F,18 °F,13 %,NNE,5 mph,0 mph,30.13 in,0.0 in,Fair
27,2019-06-28,1:50 PM,72 °F,55 °F,57 %,NE,7 mph,0 mph,30.13 in,0.0 in,Fair
28,2019-06-28,2:20 PM,73 °F,55 °F,53 %,NE,7 mph,0 mph,30.10 in,0.0 in,Fair
29,2019-06-28,2:50 PM,73 °F,55 °F,53 %,ENE,6 mph,0 mph,30.10 in,0.0 in,Fair
30,2019-06-28,3:20 PM,75 °F,55 °F,50 %,E,6 mph,0 mph,30.10 in,0.0 in,Fair
31,2019-06-28,3:50 PM,75 °F,55 °F,50 %,ENE,6 mph,0 mph,30.10 in,0.0 in,Fair
32,2019-06-28,4:20 PM,75 °F,57 °F,53 %,ENE,6 mph,0 mph,30.10 in,0.0 in,Fair
33,2019-06-28,4:50 PM,77 °F,55 °F,47 %,ENE,7 mph,0 mph,30.07 in,0.0 in,Fair
34,2019-06-28,5:20 PM,77 °F,55 °F,47 %,ENE,6 mph,0 mph,30.07 in,0.0 in,Fair
35,2019-06-28,5:50 PM,77 °F,55 °F,47 %,ENE,7 mph,0 mph,30.07 in,0.0 in,Fair
36,2019-06-28,6:20 PM,77 °F,55 °F,47 %,ENE,6 mph,0 mph,30.07 in,0.0 in,Fair
37,2019-06-28,6:50 PM,77 °F,55 °F,47 %,NE,7 mph,0 mph,30.04 in,0.0 in,Fair
38,2019-06-28,7:20 PM,77 °F,57 °F,50 %,ENE,6 mph,0 mph,30.04 in,0.0 in,Fair
39,2019-06-28,7:50 PM,75 °F,57 °F,53 %,ENE,6 mph,0 mph,30.04 in,0.0 in,Fair
40,2019-06-28,8:20 PM,75 °F,55 °F,50 %,E,6 mph,0 mph,30.04 in,0.0 in,Fair
41,2019-06-28,8:50 PM,73 °F,55 °F,53 %,E,5 mph,0 mph,30.04 in,0.0 in,Fair
42,2019-06-28,9:20 PM,72 °F,55 °F,57 %,ENE,3 mph,0 mph,30.04 in,0.0 in,Fair
43,2019-06-28,9:50 PM,72 °F,55 °F,57 %,ENE,3 mph,0 mph,30.04 in,0.0 in,Fair
44,2019-06-28,10:20 PM,70 °F,54 °F,56 %,E,2 mph,0 mph,30.04 in,0.0 in,Fair
45,2019-06-28,10:50 PM,70 °F,52 °F,53 %,ENE,2 mph,0 mph,30.04 in,0.0 in,Fair
46,2019-06-28,11:20 PM,68 °F,52 °F,56 %,VAR,2 mph,0 mph,30.04 in,0.0 in,Fair
47,2019-06-28,11:50 PM,66 °F,52 °F,60 %,ENE,2 mph,0 mph,30.04 in,0.0 in,Fair
48,2019-06-29,12:20 AM,66 °F,52 °F,60 %,ENE,2 mph,0 mph,30.04 in,0.0 in,Fair
49,2019-06-29,12:50 AM,64 °F,52 °F,64 %,E,3 mph,0 mph,30.04 in,0.0 in,Fair
50,2019-06-29,1:20 AM,64 °F,52 °F,64 %,E,3 mph,0 mph,30.01 in,0.0 in,Fair
51,2019-06-29,1:50 AM,63 °F,52 °F,68 %,E,3 mph,0 mph,30.01 in,0.0 in,Fair
52,2019-06-29,2:20 AM,61 °F,52 °F,72 %,VAR,2 mph,0 mph,30.01 in,0.0 in,Fair
53,2019-06-29,2:50 AM,61 °F,52 °F,72 %,E,3 mph,0 mph,30.01 in,0.0 in,Fair
54,2019-06-29,3:20 AM,61 °F,52 °F,72 %,E,5 mph,0 mph,30.01 in,0.0 in,Fair
55,2019-06-29,3:50 AM,59 °F,52 °F,77 %,E,3 mph,0 mph,29.98 in,0.0 in,Fair
56,2019-06-29,4:20 AM,57 °F,52 °F,82 %,E,3 mph,0 mph,29.98 in,0.0 in,Fair
57,2019-06-29,4:50 AM,59 °F,52 °F,77 %,E,1 mph,0 mph,29.98 in,0.0 in,Fair
58,2019-06-29,5:20 AM,57 °F,52 °F,82 %,E,3 mph,0 mph,29.98 in,0.0 in,Fair
59,2019-06-29,5:50 AM,57 °F,52 °F,82 %,E,2 mph,0 mph,29.98 in,0.0 in,Fair
60,2019-06-29,6:20 AM,57 °F,54 °F,88 %,E,2 mph,0 mph,29.98 in,0.0 in,Fair
61,2019-06-29,6:50 AM,59 °F,55 °F,88 %,E,2 mph,0 mph,29.98 in,0.0 in,Fair
62,2019-06-29,7:20 AM,61 °F,57 °F,88 %,VAR,1 mph,0 mph,29.95 in,0.0 in,Fair
63,2019-06-29,7:50 AM,64 °F,57 °F,77 %,ESE,3 mph,0 mph,29.95 in,0.0 in,Fair
64,2019-06-29,8:20 AM,66 °F,55 °F,68 %,ESE,5 mph,0 mph,29.98 in,0.0 in,Fair
65,2019-06-29,8:50 AM,70 °F,55 °F,60 %,ESE,5 mph,0 mph,29.98 in,0.0 in,Fair
66,2019-06-29,9:20 AM,72 °F,57 °F,60 %,ESE,5 mph,0 mph,29.98 in,0.0 in,Fair
67,2019-06-29,9:50 AM,73 °F,55 °F,53 %,E,3 mph,0 mph,29.95 in,0.0 in,Fair
68,2019-06-29,10:20 AM,77 °F,57 °F,50 %,ESE,3 mph,0 mph,29.95 in,0.0 in,Fair
69,2019-06-29,10:50 AM,79 °F,55 °F,44 %,SE,3 mph,0 mph,29.95 in,0.0 in,Fair
70,2019-06-29,11:20 AM,81 °F,57 °F,45 %,SE,5 mph,0 mph,29.95 in,0.0 in,Fair
71,2019-06-29,11:50 AM,82 °F,57 °F,42 %,ESE,3 mph,0 mph,29.95 in,0.0 in,Fair
72,2019-06-29,12:20 PM,82 °F,54 °F,37 %,ESE,6 mph,0 mph,29.95 in,0.0 in,Fair
73,2019-06-29,12:50 PM,82 °F,55 °F,39 %,E,8 mph,0 mph,29.92 in,0.0 in,Fair
74,2019-06-29,1:20 PM,84 °F,59 °F,42 %,SE,7 mph,0 mph,29.92 in,0.0 in,Fair
75,2019-06-29,1:50 PM,84 °F,57 °F,40 %,ESE,6 mph,0 mph,29.92 in,0.0 in,Fair
76,2019-06-29,2:20 PM,86 °F,61 °F,43 %,E,5 mph,0 mph,29.92 in,0.0 in,Fair
77,2019-06-29,2:50 PM,86 °F,59 °F,40 %,VAR,3 mph,0 mph,29.89 in,0.0 in,Fair
78,2019-06-29,3:20 PM,86 °F,59 °F,40 %,SE,7 mph,0 mph,29.89 in,0.0 in,Fair
79,2019-06-29,3:50 PM,88 °F,59 °F,38 %,SE,5 mph,0 mph,29.89 in,0.0 in,Fair
80,2019-06-29,4:20 PM,88 °F,59 °F,38 %,ESE,6 mph,0 mph,29.86 in,0.0 in,Fair
81,2019-06-29,4:50 PM,88 °F,59 °F,38 %,ESE,7 mph,0 mph,29.86 in,0.0 in,Fair
82,2019-06-29,5:20 PM,88 °F,64 °F,46 %,SE,7 mph,0 mph,29.86 in,0.0 in,Fair
83,2019-06-29,5:50 PM,88 °F,61 °F,40 %,ESE,6 mph,0 mph,29.83 in,0.0 in,Fair
84,2019-06-29,6:20 PM,88 °F,59 °F,38 %,ESE,6 mph,0 mph,29.83 in,0.0 in,Fair
85,2019-06-29,6:50 PM,88 °F,59 °F,38 %,ESE,5 mph,0 mph,29.83 in,0.0 in,Fair
86,2019-06-29,7:20 PM,88 °F,61 °F,40 %,ESE,3 mph,0 mph,29.83 in,0.0 in,Fair
87,2019-06-29,7:50 PM,88 °F,61 °F,40 %,ESE,5 mph,0 mph,29.81 in,0.0 in,Fair
88,2019-06-29,8:20 PM,86 °F,59 °F,40 %,ESE,5 mph,0 mph,29.81 in,0.0 in,Fair
89,2019-06-29,8:50 PM,84 °F,61 °F,45 %,ESE,5 mph,0 mph,29.81 in,0.0 in,Fair
90,2019-06-29,9:20 PM,82 °F,63 °F,51 %,ESE,5 mph,0 mph,29.81 in,0.0 in,Fair
91,2019-06-29,9:50 PM,79 °F,63 °F,57 %,ESE,3 mph,0 mph,29.78 in,0.0 in,Fair
92,2019-06-29,10:20 PM,73 °F,63 °F,69 %,SE,5 mph,0 mph,29.78 in,0.0 in,Fair
93,2019-06-29,10:50 PM,72 °F,61 °F,69 %,SE,6 mph,0 mph,29.78 in,0.0 in,Fair
94,2019-06-29,11:20 PM,72 °F,61 °F,69 %,SSE,5 mph,0 mph,29.78 in,0.0 in,Fair
95,2019-06-29,11:50 PM,72 °F,61 °F,69 %,SSE,5 mph,0 mph,29.78 in,0.0 in,Fair
96,2019-06-30,12:20 AM,70 °F,59 °F,68 %,SSE,5 mph,0 mph,29.78 in,0.0 in,Fair
97,2019-06-30,12:50 AM,70 °F,59 °F,68 %,S,7 mph,0 mph,29.78 in,0.0 in,Fair
98,2019-06-30,1:20 AM,70 °F,57 °F,64 %,S,7 mph,0 mph,29.75 in,0.0 in,Fair
99,2019-06-30,1:50 AM,72 °F,57 °F,60 %,S,8 mph,0 mph,29.75 in,0.0 in,Fair
100,2019-06-30,2:20 AM,72 °F,55 °F,57 %,S,8 mph,0 mph,29.75 in,0.0 in,Fair
101,2019-06-30,2:50 AM,73 °F,55 °F,53 %,S,9 mph,0 mph,29.75 in,0.0 in,Fair
102,2019-06-30,3:20 AM,72 °F,55 °F,57 %,S,9 mph,0 mph,29.72 in,0.0 in,Fair
103,2019-06-30,3:50 AM,68 °F,55 °F,64 %,S,7 mph,0 mph,29.72 in,0.0 in,Fair
104,2019-06-30,4:20 AM,68 °F,55 °F,64 %,S,7 mph,0 mph,29.72 in,0.0 in,Fair
105,2019-06-30,4:50 AM,70 °F,54 °F,56 %,S,9 mph,0 mph,29.72 in,0.0 in,Fair
106,2019-06-30,5:20 AM,70 °F,55 °F,60 %,SW,9 mph,0 mph,29.75 in,0.0 in,Fair
107,2019-06-30,5:50 AM,68 °F,57 °F,68 %,SSW,7 mph,0 mph,29.75 in,0.0 in,Fair
108,2019-06-30,6:20 AM,70 °F,57 °F,64 %,SW,8 mph,0 mph,29.75 in,0.0 in,Fair
109,2019-06-30,6:50 AM,72 °F,59 °F,64 %,WSW,8 mph,0 mph,29.78 in,0.0 in,Fair
110,2019-06-30,7:20 AM,73 °F,61 °F,65 %,WSW,10 mph,0 mph,29.78 in,0.0 in,Fair
111,2019-06-30,7:50 AM,73 °F,63 °F,69 %,W,9 mph,0 mph,29.78 in,0.0 in,Fair
112,2019-06-30,8:20 AM,72 °F,63 °F,73 %,W,14 mph,0 mph,29.81 in,0.0 in,Fair
113,2019-06-30,8:50 AM,72 °F,64 °F,78 %,WNW,13 mph,0 mph,29.81 in,0.0 in,Fair
114,2019-06-30,9:20 AM,73 °F,64 °F,73 %,WNW,10 mph,0 mph,29.81 in,0.0 in,Fair
115,2019-06-30,9:50 AM,73 °F,64 °F,73 %,NW,12 mph,0 mph,29.83 in,0.0 in,Fair
116,2019-06-30,10:20 AM,73 °F,64 °F,73 %,WNW,9 mph,0 mph,29.83 in,0.0 in,Fair
117,2019-06-30,10:50 AM,73 °F,64 °F,73 %,WNW,10 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
118,2019-06-30,11:20 AM,73 °F,64 °F,73 %,W,10 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
119,2019-06-30,11:50 AM,73 °F,64 °F,73 %,WNW,10 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy
120,2019-06-30,12:20 PM,73 °F,64 °F,73 %,W,10 mph,0 mph,29.89 in,0.0 in,Partly Cloudy
121,2019-06-30,12:50 PM,75 °F,64 °F,69 %,WNW,10 mph,0 mph,29.89 in,0.0 in,Fair
122,2019-06-30,1:20 PM,75 °F,63 °F,65 %,W,9 mph,0 mph,29.89 in,0.0 in,Fair
123,2019-06-30,1:50 PM,77 °F,63 °F,61 %,WNW,7 mph,0 mph,29.89 in,0.0 in,Fair
124,2019-06-30,2:20 PM,77 °F,59 °F,54 %,W,6 mph,0 mph,29.89 in,0.0 in,Fair
125,2019-06-30,2:50 PM,77 °F,57 °F,50 %,WNW,5 mph,0 mph,29.86 in,0.0 in,Fair
126,2019-06-30,3:20 PM,77 °F,59 °F,54 %,W,7 mph,0 mph,29.89 in,0.0 in,Fair
127,2019-06-30,3:50 PM,75 °F,61 °F,61 %,WNW,6 mph,0 mph,29.89 in,0.0 in,Fair
128,2019-06-30,4:20 PM,77 °F,57 °F,50 %,NW,10 mph,0 mph,29.89 in,0.0 in,Fair
129,2019-06-30,4:50 PM,77 °F,59 °F,54 %,W,9 mph,0 mph,29.89 in,0.0 in,Fair
130,2019-06-30,5:20 PM,77 °F,57 °F,50 %,WNW,12 mph,0 mph,29.89 in,0.0 in,Fair
131,2019-06-30,5:50 PM,75 °F,55 °F,50 %,WNW,10 mph,0 mph,29.89 in,0.0 in,Fair
132,2019-06-30,6:20 PM,77 °F,57 °F,50 %,WNW,8 mph,0 mph,29.89 in,0.0 in,Fair
133,2019-06-30,6:50 PM,75 °F,55 °F,50 %,W,10 mph,0 mph,29.89 in,0.0 in,Fair
134,2019-06-30,7:20 PM,77 °F,55 °F,47 %,W,6 mph,0 mph,29.89 in,0.0 in,Fair
135,2019-06-30,7:50 PM,75 °F,55 °F,50 %,W,8 mph,0 mph,29.86 in,0.0 in,Fair
136,2019-06-30,8:20 PM,75 °F,59 °F,57 %,W,8 mph,0 mph,29.86 in,0.0 in,Fair
137,2019-06-30,8:50 PM,73 °F,57 °F,57 %,W,8 mph,0 mph,29.86 in,0.0 in,Fair
138,2019-06-30,9:20 PM,72 °F,54 °F,53 %,W,8 mph,0 mph,29.86 in,0.0 in,Fair
139,2019-06-30,9:50 PM,70 °F,57 °F,64 %,NNW,6 mph,0 mph,29.86 in,0.0 in,Fair
140,2019-06-30,10:20 PM,70 °F,57 °F,64 %,NNW,6 mph,0 mph,29.89 in,0.0 in,Fair
141,2019-06-30,10:50 PM,68 °F,57 °F,68 %,NW,5 mph,0 mph,29.89 in,0.0 in,Fair
142,2019-06-30,11:20 PM,66 °F,57 °F,73 %,NW,5 mph,0 mph,29.89 in,0.0 in,Fair
143,2019-06-30,11:50 PM,66 °F,59 °F,78 %,NW,3 mph,0 mph,29.89 in,0.0 in,Fair
144,2019-07-01,12:20 AM,64 °F,57 °F,77 %,VAR,2 mph,0 mph,29.89 in,0.0 in,Fair
145,2019-07-01,12:50 AM,66 °F,55 °F,68 %,W,7 mph,0 mph,29.92 in,0.0 in,Fair
146,2019-07-01,1:20 AM,64 °F,55 °F,73 %,W,9 mph,0 mph,29.92 in,0.0 in,Fair
147,2019-07-01,1:50 AM,63 °F,54 °F,72 %,W,8 mph,0 mph,29.92 in,0.0 in,Fair
148,2019-07-01,2:20 AM,61 °F,54 °F,77 %,WSW,6 mph,0 mph,29.92 in,0.0 in,Fair
149,2019-07-01,2:50 AM,61 °F,54 °F,77 %,W,7 mph,0 mph,29.92 in,0.0 in,Fair
150,2019-07-01,3:20 AM,61 °F,54 °F,77 %,WSW,6 mph,0 mph,29.89 in,0.0 in,Fair
151,2019-07-01,3:50 AM,61 °F,54 °F,77 %,W,8 mph,0 mph,29.89 in,0.0 in,Fair
152,2019-07-01,4:20 AM,59 °F,54 °F,82 %,WSW,7 mph,0 mph,29.89 in,0.0 in,Fair
153,2019-07-01,4:50 AM,59 °F,54 °F,82 %,SW,6 mph,0 mph,29.89 in,0.0 in,Fair
154,2019-07-01,5:20 AM,59 °F,54 °F,82 %,WSW,6 mph,0 mph,29.92 in,0.0 in,Fair
155,2019-07-01,5:50 AM,59 °F,54 °F,82 %,WSW,7 mph,0 mph,29.92 in,0.0 in,Fair
156,2019-07-01,6:20 AM,57 °F,54 °F,88 %,WSW,6 mph,0 mph,29.92 in,0.0 in,Fair
157,2019-07-01,6:50 AM,59 °F,55 °F,88 %,WSW,6 mph,0 mph,29.92 in,0.0 in,Fair
158,2019-07-01,7:20 AM,61 °F,55 °F,82 %,W,7 mph,0 mph,29.92 in,0.0 in,Fair
159,2019-07-01,7:50 AM,61 °F,55 °F,82 %,W,8 mph,0 mph,29.92 in,0.0 in,Fair
160,2019-07-01,8:20 AM,63 °F,57 °F,82 %,W,7 mph,0 mph,29.92 in,0.0 in,Fair
161,2019-07-01,8:50 AM,64 °F,57 °F,77 %,WSW,6 mph,0 mph,29.95 in,0.0 in,Fair
162,2019-07-01,9:20 AM,64 °F,57 °F,77 %,SW,6 mph,0 mph,29.95 in,0.0 in,Fair
163,2019-07-01,9:50 AM,66 °F,55 °F,68 %,WSW,7 mph,0 mph,29.95 in,0.0 in,Fair
164,2019-07-01,10:20 AM,66 °F,54 °F,64 %,WSW,9 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
165,2019-07-01,10:50 AM,66 °F,54 °F,64 %,WSW,10 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
166,2019-07-01,11:20 AM,68 °F,54 °F,60 %,W,10 mph,0 mph,29.95 in,0.0 in,Fair
167,2019-07-01,11:50 AM,70 °F,55 °F,60 %,W,13 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
168,2019-07-01,12:20 PM,68 °F,54 °F,60 %,W,13 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
169,2019-07-01,12:50 PM,70 °F,54 °F,56 %,W,10 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
170,2019-07-01,1:20 PM,68 °F,54 °F,60 %,WNW,10 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
171,2019-07-01,1:50 PM,70 °F,55 °F,60 %,WNW,12 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
172,2019-07-01,2:20 PM,70 °F,54 °F,56 %,WNW,10 mph,0 mph,29.95 in,0.0 in,Partly Cloudy
173,2019-07-01,2:50 PM,72 °F,52 °F,50 %,W,13 mph,0 mph,29.98 in,0.0 in,Fair
174,2019-07-01,3:20 PM,72 °F,54 °F,53 %,W,10 mph,0 mph,29.98 in,0.0 in,Fair
175,2019-07-01,3:50 PM,72 °F,52 °F,50 %,NW,10 mph,0 mph,29.95 in,0.0 in,Fair
176,2019-07-01,4:20 PM,73 °F,50 °F,44 %,WNW,13 mph,0 mph,29.98 in,0.0 in,Fair
177,2019-07-01,4:50 PM,73 °F,54 °F,50 %,WNW,7 mph,0 mph,29.95 in,0.0 in,Fair
178,2019-07-01,5:20 PM,72 °F,52 °F,50 %,WNW,9 mph,0 mph,29.95 in,0.0 in,Fair
179,2019-07-01,5:50 PM,70 °F,55 °F,60 %,NNW,9 mph,0 mph,29.95 in,0.0 in,Fair
180,2019-07-01,6:20 PM,70 °F,54 °F,56 %,N,14 mph,0 mph,29.95 in,0.0 in,Fair
181,2019-07-01,6:50 PM,68 °F,54 °F,60 %,NNW,15 mph,0 mph,29.98 in,0.0 in,Fair
182,2019-07-01,7:20 PM,68 °F,54 °F,60 %,NNW,12 mph,0 mph,29.98 in,0.0 in,Fair
183,2019-07-01,7:50 PM,66 °F,54 °F,64 %,NNW,13 mph,0 mph,29.98 in,0.0 in,Fair
184,2019-07-01,8:20 PM,66 °F,54 °F,64 %,N,12 mph,0 mph,29.98 in,0.0 in,Fair
185,2019-07-01,8:50 PM,64 °F,52 °F,64 %,NNW,8 mph,0 mph,29.98 in,0.0 in,Fair
186,2019-07-01,9:20 PM,64 °F,50 °F,59 %,NNW,8 mph,0 mph,30.01 in,0.0 in,Fair
187,2019-07-01,9:50 PM,63 °F,50 °F,63 %,NW,7 mph,0 mph,30.01 in,0.0 in,Fair
188,2019-07-01,10:20 PM,61 °F,50 °F,68 %,NW,6 mph,0 mph,30.01 in,0.0 in,Fair
189,2019-07-01,10:50 PM,59 °F,50 °F,72 %,NW,5 mph,0 mph,30.04 in,0.0 in,Fair
190,2019-07-01,11:20 PM,57 °F,50 °F,77 %,NW,3 mph,0 mph,30.04 in,0.0 in,Fair
191,2019-07-01,11:50 PM,57 °F,50 °F,77 %,NW,5 mph,0 mph,30.04 in,0.0 in,Fair
192,2019-07-02,12:20 AM,57 °F,50 °F,77 %,NW,5 mph,0 mph,30.04 in,0.0 in,Fair
193,2019-07-02,12:50 AM,57 °F,50 °F,77 %,NW,5 mph,0 mph,30.04 in,0.0 in,Fair
194,2019-07-02,1:20 AM,57 °F,50 °F,77 %,NW,3 mph,0 mph,30.04 in,0.0 in,Fair
195,2019-07-02,1:50 AM,55 °F,50 °F,82 %,NW,3 mph,0 mph,30.04 in,0.0 in,Fair
196,2019-07-02,2:20 AM,57 °F,50 °F,77 %,WNW,3 mph,0 mph,30.04 in,0.0 in,Fair
197,2019-07-02,2:50 AM,54 °F,50 °F,88 %,W,2 mph,0 mph,30.04 in,0.0 in,Fair
198,2019-07-02,3:20 AM,57 °F,50 °F,77 %,W,3 mph,0 mph,30.04 in,0.0 in,Fair
199,2019-07-02,3:50 AM,55 °F,50 °F,82 %,W,3 mph,0 mph,30.04 in,0.0 in,Fair
200,2019-07-02,4:20 AM,55 °F,50 °F,82 %,WSW,5 mph,0 mph,30.04 in,0.0 in,Fair
201,2019-07-02,4:50 AM,54 °F,50 °F,88 %,WSW,5 mph,0 mph,30.04 in,0.0 in,Fair
202,2019-07-02,5:20 AM,54 °F,50 °F,88 %,WSW,5 mph,0 mph,30.04 in,0.0 in,Fair
203,2019-07-02,5:50 AM,54 °F,50 °F,88 %,WSW,5 mph,0 mph,30.07 in,0.0 in,Fair
